0
394,0
737395,1
737395,1
737396,1
737395,1
737397,1
737395,1
737398,1
737395,1
737399,1
737395,1
737400,1
737395,1
737401,1
737395,1
737402,1
737395,1
737403,1
737395,1
737404,4
737395,4
737405,4
737395,4
737406,4
737395,4
737407,4
737395,4
737408,6
737395,6
737409,6
737395,6
737410,7
737395,7
737411,8
737395,8
737412,9
737395,9
737413,14
737395,14
737414,18
737395,18
737415,21
737395,21
737416,29
737395,29
737417,30
737395,30
737418,33
737395,33
737419,35
737395,35
737420,37
737395,37
737421,37
737395,37
737422,37
737395,37
737423,37
737395,37
737424,40
737395,40
737425,43
737395,43
737426,44
737395,44
737427,41
737395,41
737428,41
737395,41
737429,41
737395,41
737430,41
737395,41
737431,41
737395,41
737432,41
737395,41
737433,41
737395,41
737434,41
737395,41
737435,41
737395,41
737436,41
737395,41
737437,41
737395,41
737438,41
737395,41
737439,41
737395,41
737440,45
737395,45
737441,62
737395,62
737442,198
737395,198
737443,275
737395,275
737444,291
737395,291
737445,440
737395,440
737446,571
737395,571
737447,830
737395,830
737448,1287
737395,1287
737449,1975
737395,1975
737450,2744
737395,2744
737451,4515
737395,4515
737452,5974
737395,5974
737453,7711
737395,7711
737454,9692
737395,9692
737455,11791
737395,11791
737456,14380
737395,14380
737457,17205
737395,17205
737458,20438
737395,20438
737459,24324
737395,24324
737460,28018
737395,28018
737461,31161
737395,31161
737462,34594
737395,34594
737463,37162
737395,37162
737464,40224
737395,40224
737465,42708
737395,42708
737466,44730
737395,44730
737467,58839
737395,58839
737468,63932
737395,63932
737469,66575
737395,66575
737470,68584
737395,68584
737471,70637
737395,70637
737472,72528
737395,72528
737473,74276
737395,74276
737474,75101
737395,75101
737475,75993
737395,75993
737476,76392
737395,76392
737477,76846
737395,76846
737478,77262
737395,77262
737479,77779
737395,77779
737480,78190
737395,78190
737481,78630
737395,78630
737482,78959
737395,78959
737483,79389
737395,79389
737484,79968
737395,79968
737485,80174
737395,80174
737486,80302
737395,80302
737487,80303
